/home/cliu7/utils/AdmixTools/bin/qp3Pop: parameter file: /home/cliu7/ancient_ACA/data/params/fstats/HO_all_merged.outgroup_f3.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.geno
snpname: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.snp
indivname: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.ind
popfilename: /home/cliu7/ancient_ACA/data/params/fstats/HO_all_merged.outgroup_f3.poptable.txt
inbreed: NO
outgroupmode: YES
## qp3Pop version: 435
packed geno read OK
end of inpack
nplist: 385
number of blocks for block jackknife: 710
snps: 498990
                      Source 1             Source 2               Target           f_3       std. err           Z    SNPs
 result:              Samdzong               Mebrak                Mbuti     73.804849       0.533276     138.399  430560
 result:              Samdzong                Kyang                Mbuti     73.427296       0.522797     140.451  430553
 result:              Samdzong                Suila                Mbuti     73.084546       0.649587     112.509  273509
 result:                Mebrak           Chokhopani                Mbuti     73.023612       0.559817     130.442  423299
 result:                Mebrak               Rhirhi                Mbuti     73.812702       0.561889     131.365  418034
 result:                Mebrak               Lubrak                Mbuti     75.153808       0.617128     121.780  275584
 result:                Mebrak             Samdzong                Mbuti     73.804849       0.533276     138.399  430560
  no data               Mebrak               Mebrak                Mbuti      0.000000      -1.000000      -0.000      -1
 result:                Mebrak                Kyang                Mbuti     74.051180       0.545680     135.704  429663
 result:                Mebrak                Suila                Mbuti     73.962691       0.661220     111.858  272428
 result:                 Kyang           Chokhopani                Mbuti     72.572870       0.539454     134.530  423486
 result:                 Kyang               Rhirhi                Mbuti     72.918652       0.555527     131.260  418382
 result:                 Kyang               Lubrak                Mbuti     74.593931       0.603038     123.697  275619
 result:                 Kyang             Samdzong                Mbuti     73.427296       0.522797     140.451  430553
 result:                 Kyang               Mebrak                Mbuti     74.051180       0.545680     135.704  429663
  no data                Kyang                Kyang                Mbuti      0.000000      -1.000000      -0.000      -1
 result:                 Kyang                Suila                Mbuti     73.620619       0.633046     116.296  272576
 result:                 Suila           Chokhopani                Mbuti     72.807694       0.680130     107.050  262734
 result:                 Suila               Rhirhi                Mbuti     72.699897       0.701608     103.619  264791
 result:                 Suila               Lubrak                Mbuti     75.218786       0.810730      92.779  187096
 result:                 Suila             Samdzong                Mbuti     73.084546       0.649587     112.509  273509
 result:                 Suila               Mebrak                Mbuti     73.962691       0.661220     111.858  272428
 result:                 Suila                Kyang                Mbuti     73.620619       0.633046     116.296  272576
  no data                Suila                Suila                Mbuti      0.000000      -1.000000      -0.000      -1
##end of qp3Pop:      891.940 seconds cpu      275.399 Mbytes in use
